ParticipantID                       , ParticipantIdentifier, MessageID                           , EmailType, TemplateName          , ToEmailAddress   , SenderEmailAddress    , ContentVersion, Subject        , BounceType, BounceSubType
e5e3fd33-78a7-4375-b8a3-554dcd2666b6, P0508                , c49221d6-4977-4abd-8080-eb3243ef0590, Reminder , 24H_SURVEY_REMINDER_3 , p0508@example.org, study-team@example.org,              2, Survey reminder, Permanent , General
40fc5617-8090-4e56-bf16-8286b33ccb89, P0512                , 3f3efa74-e901-4a66-a9b3-c771a6e1f157, Reminder , 7D_SURVEY_REMINDER_1  , p0512@example.org, study-team@example.org,              3, Survey reminder, Permanent , General
7365581d-fb33-401a-a77a-bc8afb8c6a86, P0524                , dd6806e6-30ce-4702-8e21-92a28b50c5cd, Reminder , 4_6M_SURVEY_REMINDER_2, p0524@example.org, study-team@example.org,              1, Survey reminder, Permanent , General
6d25b72e-5775-40e4-8dfc-d82779bc9205, P0533                , dfc4d5a8-71ab-42b5-b67f-66d00f4929cc, Reminder , 24H_SURVEY_REMINDER_2 , p0533@example.org, study-team@example.org,              1, Survey reminder, Permanent , General
67ab7c33-64ce-4fe6-ad7b-68e7a47c4d6f, P0534                , f9844c44-f512-43ed-870d-c02ea78266ad, Reminder , 1M_SURVEY_REMINDER_1  , p0534@example.org, study-team@example.org,              1, Survey reminder, Permanent , General
24dbb403-331a-4434-b6e5-a8c080a0dcba, P0572                , c9e6fd4e-b495-4b6c-a748-4ab5c8eada16, Reminder , 4_6M_SURVEY_REMINDER_2, p0572@example.org, study-team@example.org,              4, Survey reminder, Permanent , General
c42d8582-e83d-4bb2-a7e9-f1c630072350, P0599                , 43c67de7-5674-4982-877a-295464b41d42, Reminder , 24H_SURVEY_REMINDER_2 , p0599@example.org, study-team@example.org,              2, Survey reminder, Permanent , General
045bdc74-1c05-4875-9ee3-5fe14b31876a, P0638                , c0756422-2d03-4ca6-b45c-94bd43b6467a, Reminder , 24H_SURVEY_REMINDER_3 , p0638@example.org, study-team@example.org,              3, Survey reminder, Permanent , General
9f546678-4eac-4b29-a74c-6092d624448c, P0642                , bb7dd4e8-f30a-4cb4-aa41-2f60fac2e1d3, Reminder , 1M_SURVEY_REMINDER_2  , p0642@example.org, study-team@example.org,              5, Survey reminder, Permanent , General
8e2c4d24-d2b2-40c5-8f3c-be4ced291000, P0648                , 78e196fa-170b-4fec-b517-587893600740, Reminder , 7D_SURVEY_REMINDER_1  , p0648@example.org, study-team@example.org,              5, Survey reminder, Permanent , General
68a73242-6ff0-45cc-9199-e60e26408614, P0673                , f4192415-aecf-4916-a487-e2810e2a238a, Reminder , 1M_SURVEY_REMINDER_1  , p0673@example.org, study-team@example.org,              5, Survey reminder, Permanent , General
7aff8e6c-e110-44a2-b83f-f51bd623a51e, P0674                , 1ca23f70-cc61-4de6-b2b2-6d4cf463b79b, Reminder , 1M_SURVEY_REMINDER_1  , p0674@example.org, study-team@example.org,              2, Survey reminder, Permanent , General
78754fa4-f6f2-43bc-8395-3df62e5ba6c4, P0691                , de41e844-10ae-49de-ab97-575790bbd529, Reminder , 7D_SURVEY_REMINDER_1  , p0691@example.org, study-team@example.org,              2, Survey reminder, Permanent , General
fc7486f3-8903-4bae-b95b-30a6ab7de4ec, P0731                , 810e9a38-ae99-4148-b60f-41e1590081b5, Reminder , 7D_SURVEY_REMINDER_1  , p0731@example.org, study-team@example.org,              2, Survey reminder, Permanent , General
008ba390-2609-46e5-be53-2d94ca6c5dd8, P0738                , dcb593fd-23f0-4cdc-aea9-15813ed30e9a, Reminder , 4_6M_SURVEY_REMINDER_2, p0738@example.org, study-team@example.org,              1, Survey reminder, Permanent , General
af1e16ef-18ed-4d4a-b69d-56f82322064e, P0741                , b6dab16a-6d8a-44d7-ad36-b4aeb1488165, Reminder , 3M_SURVEY_REMINDER_2  , p0741@example.org, study-team@example.org,              4, Survey reminder, Permanent , General
556e85f5-d422-4cbf-8157-5b9aff95bc1a, P0793                , ac9d71f4-030f-43a2-b616-33e66816588c, Reminder , 4_6M_SURVEY_REMINDER_1, p0793@example.org, study-team@example.org,              2, Survey reminder, Permanent , General
d5a7a158-76e6-4f40-af65-ab3fda834627, P0796                , 6c5aee06-6fd8-4cfb-bfa2-fbf4ea015daf, Reminder , 3M_SURVEY_REMINDER_1  , p0796@example.org, study-team@example.org,              3, Survey reminder, Permanent , General
b98a3e77-a79e-467a-b1f0-98a07087a6ab, P0801                , 79b5a1b7-2e26-48b2-b715-9e53850fc270, Reminder , 24H_SURVEY_REMINDER_1 , p0801@example.org, study-team@example.org,              1, Survey reminder, Permanent , General
29da2b62-6dcd-478a-92b7-6e9001b64828, P0821                , fcc797e7-8b17-4230-94cd-ad2ce40badd6, Reminder , 7D_SURVEY_REMINDER_2  , p0821@example.org, study-team@example.org,              2, Survey reminder, Permanent , General
29da2b62-6dcd-478a-92b7-6e9001b64828, P0821                , ebb90968-d753-40ca-8edd-d56c2becad20, Reminder , 3M_SURVEY_REMINDER_2  , p0821@example.org, study-team@example.org,              1, Survey reminder, Permanent , General
1ce7e075-d5b3-44d3-b81b-62d6bb214dd7, P0871                , c4f15a66-0dae-44f0-af05-cb12f8a7e94a, Reminder , 4_6M_SURVEY_REMINDER_1, p0871@example.org, study-team@example.org,              3, Survey reminder, Permanent , General
50a5c954-9dc2-4557-a3cc-7d0be1402987, P0874                , aecca571-2572-46fc-9313-2bb486f4210e, Reminder , 1M_SURVEY_REMINDER_3  , p0874@example.org, study-team@example.org,              3, Survey reminder, Permanent , General
50a5c954-9dc2-4557-a3cc-7d0be1402987, P0874                , 71937ad5-820a-4c73-bbee-b78f418489b2, Reminder , 4_6M_SURVEY_REMINDER_1, p0874@example.org, study-team@example.org,              3, Survey reminder, Permanent , General
379beb56-06ef-4f59-bf99-7cef0a3f0d6c, P0876                , fafa006b-2762-4bab-8189-1860b4b31d65, Reminder , 24H_SURVEY_REMINDER_1 , p0876@example.org, study-team@example.org,              4, Survey reminder, Permanent , General
8a19478c-58ad-482a-81c0-bdc4eea55770, P0924                , 7249aba0-d074-41eb-87cf-d54b30b2a639, Reminder , 4_6M_SURVEY_REMINDER_2, p0924@example.org, study-team@example.org,              4, Survey reminder, Permanent , General
1b47c784-8bb6-4fe1-80c0-daa5fbb39826, P0927                , 5b9466a7-c0e6-4f4f-8eac-7b2acc586bc1, Reminder , 7D_SURVEY_REMINDER_1  , p0927@example.org, study-team@example.org,              4, Survey reminder, Permanent , General
ebe52f7e-a693-4bdd-a50c-31b172ee9326, P0955                , 1e6e242f-6334-4ed9-a6d2-982c5793b40f, Reminder , 1M_SURVEY_REMINDER_1  , p0955@example.org, study-team@example.org,              2, Survey reminder, Permanent , General
81dcb996-0d3f-4c4c-ba83-aac8627dca22, P0958                , aab131fe-2d04-4c50-96c0-a648026cb6a7, Reminder , 24H_SURVEY_REMINDER_2 , p0958@example.org, study-team@example.org,              1, Survey reminder, Permanent , General
392d09dc-4507-4f2e-91ab-f0083987e039, P0978                , dd417c70-e106-486f-b47a-0e58bacb0b19, Reminder , 24H_SURVEY_REMINDER_2 , p0978@example.org, study-team@example.org,              4, Survey reminder, Permanent , General
359afd23-8f1e-448a-bfed-80ee49099072, P0993                , 894d871e-fe03-4b48-9638-e5022e3fdc46, Reminder , 3M_SURVEY_REMINDER_2  , p0993@example.org, study-team@example.org,              1, Survey reminder, Permanent , General
